email_text,label,category,sender_domain,contains_link,contains_attachment,num_words
Let's meet tomorrow to discuss the project.,0,ham,outlook.com,1,0,7
Thanks for reaching out. I will get back to you shortly.,0,ham,outlook.com,0,1,11
We offer immediate work-from-home positions. Apply now.,1,job,billing-alerts.org,0,0,7
Let's meet tomorrow to discuss the project.,0,ham,icloud.com,0,1,7
Attached is the report for last quarter.,0,ham,yahoo.com,1,1,7
Your system is at risk. Download the patch now.,1,malware,alert-security.net,1,0,9
Congratulations! You have won a free iPhone. Claim now.,1,promotion,secure-update.com,1,0,9
Your system is at risk. Download the patch now.,1,malware,verify-payments.co,1,1,9
Reminder: Your appointment is confirmed for next week.,0,ham,yahoo.com,1,0,8
Earn $500 daily with zero investment. Join today.,1,job,verify-payments.co,1,1,8
Thanks for reaching out. I will get back to you shortly.,0,ham,company.com,1,0,11
Let's meet tomorrow to discuss the project.,0,ham,yahoo.com,0,1,7
Congratulations! You have won a free iPhone. Claim now.,1,promotion,security-team.help,0,1,9
Please review the attached document for urgent processing.,1,malware,billing-alerts.org,1,0,8
Your system is at risk. Download the patch now.,1,malware,alert-security.net,1,0,9
We offer immediate work-from-home positions. Apply now.,1,job,billing-alerts.org,1,0,7
Please check the updated meeting schedule.,0,ham,company.com,1,0,6
We offer immediate work-from-home positions. Apply now.,1,job,secure-update.com,0,0,7
Security update required. Install the package immediately.,1,malware,billing-alerts.org,0,0,7
Thanks for reaching out. I will get back to you shortly.,0,ham,outlook.com,1,0,11
Your account has been locked. Verify immediately to avoid suspension.,1,credential,alert-security.net,1,0,10
Security update required. Install the package immediately.,1,malware,secure-update.com,1,0,7
Your system is at risk. Download the patch now.,1,malware,verify-payments.co,0,1,9
Your order has been shipped and will arrive soon.,0,ham,icloud.com,0,0,9
Let's meet tomorrow to discuss the project.,0,ham,icloud.com,0,0,7
Reminder: Your appointment is confirmed for next week.,0,ham,outlook.com,1,1,8
You have been selected for an exclusive crypto giveaway.,1,promotion,secure-update.com,0,1,9
Your system is at risk. Download the patch now.,1,malware,security-team.help,1,0,9
Your order has been shipped and will arrive soon.,0,ham,icloud.com,1,0,9
Your account has been locked. Verify immediately to avoid suspension.,1,credential,verify-payments.co,0,1,10
We offer immediate work-from-home positions. Apply now.,1,job,alert-security.net,0,1,7
Attached is the report for last quarter.,0,ham,outlook.com,0,1,7
Unusual login detected. Reset your password now.,1,credential,security-team.help,0,1,7
Congratulations! You have won a free iPhone. Claim now.,1,promotion,secure-update.com,0,0,9
Earn $500 daily with zero investment. Join today.,1,job,verify-payments.co,0,0,8
Let's meet tomorrow to discuss the project.,0,ham,university.edu,0,1,7
Please check the updated meeting schedule.,0,ham,outlook.com,1,0,6
We offer immediate work-from-home positions. Apply now.,1,job,alert-security.net,1,1,7
We offer immediate work-from-home positions. Apply now.,1,job,billing-alerts.org,1,0,7
You have been selected for an exclusive crypto giveaway.,1,promotion,alert-security.net,1,1,9
Limited-time offer — click the link to activate your reward.,1,promotion,secure-update.com,1,0,10
Your payment has failed. Update billing details to avoid penalties.,1,financial,security-team.help,1,0,10
